Run,Reference,,T_C,P_kbar,fO2_value,fO2_unit,fO2_comment,n_cpx,SiO2_Cpx,TiO2_Cpx,Al2O3_Cpx,FeO_Cpx,Fe2O3_Cpx,MnO_Cpx,MgO_Cpx,CaO_Cpx,Na2O_Cpx,K2O_Cpx,P2O5_Cpx,Cr2O3_Cpx,NiO_Cpx,SiO2_Cpx_sd,TiO2_Cpx_sd,Al2O3_Cpx_sd,FeO_Cpx_sd,Fe2O3_Cpx_sd,MnO_Cpx_sd,MgO_Cpx_sd,CaO_Cpx_sd,Na2O_Cpx_sd,K2O_Cpx_sd,P2O5_Cpx_sd,Cr2O3_Cpx_sd,NiO_Cpx_sd,Cpx_sd,n_Liq,SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeO_Liq,Fe2O3_Liq,MnO_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,P2O5_Liq,Cr2O3_Liq,NiO_Liq,H2O_Liq,H2O_Method,UnnormalizedTotal_Liq,Total_100_norm,SiO2_Liq_sd,TiO2_Liq_sd,Al2O3_Liq_sd,FeO_Liq_sd,Fe2O3_Liq_sd,MnO_Liq_sd,MgO_Liq_sd,CaO_Liq_sd,Na2O_Liq_sd,K2O_Liq_sd,P2O5_Liq_sd,Cr2O3_Liq_sd,NiO_Liq_sd,SiO2_Start,TiO2_Start,Al2O3_Start,Cr2O3_Start,FeO_Start,Fe2O3_Start,MnO_Start,MgO_Start,CaO_Start,Na2O_Start,K2O_Start,P2O5_Start,NiO_Start,H2O_Start,H2O_sat,Bt_Frac,Amph_Frac,Phl_Frac,Ap_Frac,Liq_frac,H2O_measurement,Comments
1925,Adam_et al_2007,,1050,10,,,,10,"47,55","2,21","7,77","8,75",,"0,17","13,38","19,22","0,63",,"0,06","0,36",0,"1,26","0,65","1,32","0,42",,"0,01","0,99","0,53","0,07",0,"0,03","0,14",0,,11,"46,27","2,01","16,03","9,26",,"0,16","4,84","7,61","3,32","1,27","0,7","0,02","0,04",,,"92,26",,"0,19","0,05","0,08","0,14",0,"0,03","0,05","0,07","0,11","0,04","0,06","0,01","0,03","48,47","2,13","15,2","0,03","10,96",,"0,16","9,15","8,95","3,19","1,15","0,59",,5,,,12,,,75,,
1923,Adam_et al_2007,,1050,20,,,,16,"51,91","0,63","4,22","7,12",,"0,16","16,23","18,25","0,86",,0,"0,09","0,02","0,73","0,16","1,11","0,65",,"0,04","0,74","0,97","0,11",0,0,"0,05","0,02",,20,52,"2,57","16,48","8,11",,"0,1","5,79","8,3","4,23","1,47","0,88","0,02",0,,,"84,83",,"0,81","0,08","0,26","6,91",0,"0,03","0,53","0,46",,"0,29","0,05","0,02",0,"48,47","2,13","15,2","0,03","10,96",,"0,16","9,15","8,95","3,19","1,15","0,59",,10,,,16,,,67,,
1941,Adam_et al_2007,,1050,15,,,,2,"49,31","0,89","5,49","7,12",,"0,15","15,19","18,14","0,75",,"0,03","0,1",0,"0,66","0,1","0,21","0,65",,"0,01","0,31","0,22","0,04",0,0,"0,02",0,,13,"44,44","1,93","14,66","9,86",,"0,14","5,05","7,18","3,04","1,21","0,68","0,03","0,02",,,"89,02",,"0,72","0,06","0,19","0,18",0,"0,02","0,08","0,09","0,17","0,04","0,05","0,01","0,01","48,47","2,13","15,2","0,03","10,96",,"0,16","9,15","8,95","3,19","1,15","0,59",,"7,5",,,21,,,72,,
1541,Adam_et al_2007,,1050,20,,,,,"49,46","0,63","5,73","7,1",,"0,12","14,16","21,61","1,01",,"0,03","0,11","0,18","0,49","0,15","0,81","0,37",,"0,03","0,69","0,4","0,18",0,"0,02","0,06","0,04",,,"35,79","1,25","12,56","5,02",,"0,05","4,65","7,35","1,17","1,26","1,26","0,01","0,13",,,"70,95",,,,,,,,,,,,,,,"46,66","2,19","14,09","0,07","9,83",,"0,16","8,43","9,62","3,5",2,"0,85",,10,,,11,,,77,,
1534,Adam&Green_1994,,1200,20,,,,14,"50,79","0,66","6,28","5,45",,"0,13","14,78","19,57","1,2",,0,"0,38",0,"0,54","0,1","0,53","0,15",,"0,03","0,3","0,2","0,06",0,0,"0,12",0,,,"43,95","2,28","14,52","8,94",,"0,18","7,48","8,08","3,56","2,21",,,,,,"90,54",,,,,,,,,,,,,,,"46,66","2,19","14,09","0,07","9,83",,"0,16","8,43","9,62","3,5",2,"0,85",,5,,,,,,,,
AB12,Almeev_et_al_2013,,1100,"7,04",,,,18,"48,2","0,76","6,5","10,8",,"0,31",14,"18,1","0,58","0,04",,,,"0,5","0,01","0,4","0,4",,"0,06","0,3","0,5","0,06","0,02",,,,,,"56,43","1,41","16,64","9,2",,"0,2","3,93","7,55","3,2","1,44",,,,"2,5",By_difference,,,,,,,,,,,,,,,,"54,36","0,96","17,54",,"8,72",,"0,17","5,76","8,75","2,88","0,92",0,,,,,,,,,,
AB15,Almeev_et_al_2013,,1140,"7,02",,,,3,"51,1","0,5","4,4","10,9",,"0,38","16,2","16,3","0,2","0,03",,,,"0,9","0,1","0,8","0,4",,"0,03","0,8","0,6","0,2","0,002",,,,,,"54,87","1,49","16,16","10,87",,"0,15","4,17","8,22","2,74","1,33",,,,"1,12",By_difference,,,,,,,,,,,,,,,,"54,36","0,96","17,54",,"8,72",,"0,17","5,76","8,75","2,88","0,92",0,,,,,,,,,,
AB20,Almeev_et_al_2013,,1050,"7,03",,,,3,"48,8","0,9","6,7","10,4",,"0,32","13,6","18,2","0,6","0,07",,,,"0,7","0,1","0,9","0,3",,"0,09","0,9","0,7","0,2","0,08",,,,,,"59,31","1,3","17,77","6,96",,"0,21","2,91","6,55","3,43","1,56",,,,"2,9",By_difference,,,,,,,,,,,,,,,,"54,36","0,96","17,54",,"8,72",,"0,17","5,76","8,75","2,88","0,92",0,,,,,,,,,,
AB21,Almeev_et_al_2013,,1050,"7,03",,,,6,"47,5","0,89","7,9","9,6",,"0,27","13,7","19,5","0,66","0,03",,,,"0,3","0,03","0,2","0,2",,"0,02","0,1","0,5","0,04","0,01",,,,,,"56,54",1,"19,82","6,85",,"0,12","3,53","7,99","3,11","1,04",,,,"3,4",By_difference,,,,,,,,,,,,,,,,"54,36","0,96","17,54",,"8,72",,"0,17","5,76","8,75","2,88","0,92",0,,,,,,,,,,
AB22,Almeev_et_al_2013,,1050,"7,03",,,,4,"47,3","0,9","8,1","9,3",,"0,28","14,1","19,3","0,4",0,,,,"0,5","0,1","0,5","0,6",,"0,05","0,3","0,9","0,2",0,,,,,,"56,58","0,89","19,55","6,9",,"0,15","3,97","7,73","3,14","1,09",,,,"3,7",By_difference,,,,,,,,,,,,,,,,"54,36","0,96","17,54",,"8,72",,"0,17","5,76","8,75","2,88","0,92",0,,,,,,,,,,
AB25,Almeev_et_al_2013,,1120,"7,03",,,,3,"50,1","0,65","5,9",11,,"0,4","14,9","17,1","0,6","0,06",,,,"0,5","0,04","0,6","0,07",,"0,02","0,5","0,2","0,2","0,02",,,,,,"55,11","1,5","16,38","11,22",,"0,19","3,67","7,57","2,96","1,4",,,,"1,3",By_difference,,,,,,,,,,,,,,,,"54,36","0,96","17,54",,"8,72",,"0,17","5,76","8,75","2,88","0,92",0,,,,,,,,,,
AB26,Almeev_et_al_2013,,1080,"7,03",,,,3,"48,4","0,76",7,"10,8",,"0,28","14,1","18,9","0,6","0,04",,,,"0,3","0,01","0,2","0,4",,"0,09","0,4","0,4","0,1","0,03",,,,,,"58,1","1,41","16,95","9,12",,"0,2","2,88","6,59","3,13","1,62",,,,"2,5",By_difference,,,,,,,,,,,,,,,,"54,36","0,96","17,54",,"8,72",,"0,17","5,76","8,75","2,88","0,92",0,,,,,,,,,,
AB30,Almeev_et_al_2013,,1080,"7,03",,,,3,"47,7","0,76","7,7","9,6",,"0,27","14,2","19,3","0,56","0,03",,,,"0,3","0,05","0,2","0,5",,"0,06","0,3","0,3","0,02","0,01",,,,,,"54,38","0,99","18,27","9,29",,"0,18","4,57","8,41","2,92","0,99",,,,"3,7",By_difference,,,,,,,,,,,,,,,,"54,36","0,96","17,54",,"8,72",,"0,17","5,76","8,75","2,88","0,92",0,,,,,,,,,,
AB54,Almeev_et_al_2013,,975,"1,02",,,,4,50,"1,1","4,6","7,8",,"0,33","15,9","20,6","0,38","0,04",,,,"1,26","0,1","0,2","0,1",,"0,06","0,5","0,5","0,06","0,01",,,,,,"65,31","1,05",17,"3,71",,"0,09","2,31","4,98","3,74","1,81",,,,"2,86",FTIR,,,,,,,,,,,,,,,,"54,36","0,96","17,54",,"8,72",,"0,17","5,76","8,75","2,88","0,92",0,,,,,,,,,,
AB60,Almeev_et_al_2013,,1000,"1,02",,,,3,"50,6","0,95","4,4","7,3",,"0,36","16,14","20,2","0,4","0,07",,,,"0,9","0,06","0,2","0,7",,"0,04","0,07","0,8","0,1","0,04",,,,,,"64,15","1,15","16,6","4,3",,"0,09","2,65","5,53","3,8","1,73",,,,"2,36",FTIR,,,,,,,,,,,,,,,,"54,36","0,96","17,54",,"8,72",,"0,17","5,76","8,75","2,88","0,92",0,,,,,,,,,,
AB61,Almeev_et_al_2013,,1000,"1,02",,,,6,50,"0,9","4,6",7,,"0,29","16,8",20,"0,34","0,04",,,,"1,01","0,2","0,8","0,6",,"0,03","0,9","0,8","0,06","0,01",,,,,,"61,94","1,12","17,57","4,74",,"0,16","3,23","6,26","3,56","1,42",,,,3,By_difference,,,,,,,,,,,,,,,,"54,36","0,96","17,54",,"8,72",,"0,17","5,76","8,75","2,88","0,92",0,,,,,,,,,,
AB62,Almeev_et_al_2013,,1000,"1,02",,,,3,"51,8","0,83","5,2","7,2",,"0,3",15,"19,1","0,6","0,17",,,,"0,3","0,06","0,5","0,3",,"0,03","0,8","0,1","0,2","0,03",,,,,,"66,59","1,09","15,66","4,24",,"0,13","1,98","4,45","3,54","2,32",,,,"1,59",FTIR,,,,,,,,,,,,,,,,"54,36","0,96","17,54",,"8,72",,"0,17","5,76","8,75","2,88","0,92",0,,,,,,,,,,
AB71,Almeev_et_al_2013,,1040,"1,04",,,,1,"50,9","0,8",3,"9,8",,"0,4","16,6","17,6","0,3",0,,,,,,,,,,,,,,,,,,,"61,79","1,44","15,2","7,39",,"0,16","2,82","5,91","3,22","2,07",,,,"0,7",By_difference,,,,,,,,,,,,,,,,"54,36","0,96","17,54",,"8,72",,"0,17","5,76","8,75","2,88","0,92",0,,,,,,,,,,
AB72,Almeev_et_al_2013,,1040,"1,04",,,,3,"51,8","0,74","3,5",8,,"0,33",17,"19,4","0,33","0,03",,,,"0,4","0,07","0,4","0,5",,"0,04","0,3","0,6","0,01","0,01",,,,,,"59,92","1,23","16,35","7,21",,"0,18","3,32","6,9","3,35","1,54",,,,"1,5",By_difference,,,,,,,,,,,,,,,,"54,36","0,96","17,54",,"8,72",,"0,17","5,76","8,75","2,88","0,92",0,,,,,,,,,,
AB73,Almeev_et_al_2013,,1040,"1,04",,,,4,51,"0,8","4,6","8,1",,"0,3","16,6","19,4","0,32","0,06",,,,"0,6","0,06","0,5","0,6",,"0,04","0,2","0,5","0,04","0,05",,,,,,"58,48","1,2","16,46","7,57",,"0,18","4,09","7,46","3,27","1,29",,,,"1,9",By_difference,,,,,,,,,,,,,,,,"54,36","0,96","17,54",,"8,72",,"0,17","5,76","8,75","2,88","0,92",0,,,,,,,,,,
AB74,Almeev_et_al_2013,,1040,"1,04",,,,3,"51,2","0,6","3,9",8,,"0,3","17,5","19,2","0,34","0,05",,,,"0,7","0,1","0,8","1,19",,"0,03","0,1","0,7","0,06","0,01",,,,,,"57,98","1,13","16,7","7,38",,"0,17","4,38","7,89","3,18","1,19",,,,"2,2",By_difference,,,,,,,,,,,,,,,,"54,36","0,96","17,54",,"8,72",,"0,17","5,76","8,75","2,88","0,92",0,,,,,,,,,,
AB86,Almeev_et_al_2013,,990,"7,01",,,,3,"48,7","0,69","6,3","8,7",,"0,25","14,3","20,4","0,48","0,04",,,,"0,4","0,09","0,5","0,08",,"0,08","0,5","0,5","0,03","0,01",,,,,,"56,82","0,91","19,33","7,01",,"0,19","3,72","7,75","3,19","1,08",,,,"5,21",By_difference,,,,,,,,,,,,,,,,"54,36","0,96","17,54",,"8,72",,"0,17","5,76","8,75","2,88","0,92",0,,,,,,,,,,
AB87,Almeev_et_al_2013,,990,"7,01",,,,3,"48,9","0,69","6,6","9,2",,"0,29",14,"20,6","0,44","0,03",,,,"0,2","0,03","0,5","0,3",,"0,04","0,6","0,4","0,03","0,02",,,,,,"57,28","0,85","19,34","7,01",,"0,19","3,5","7,55","3,19","1,09",,,,"5,23",By_difference,,,,,,,,,,,,,,,,"54,36","0,96","17,54",,"8,72",,"0,17","5,76","8,75","2,88","0,92",0,,,,,,,,,,
AB89,Almeev_et_al_2013,,990,"7,01",,,,5,"52,1","0,34","2,9","6,6",,"0,25","16,8","21,1","0,3","0,01",,,,"0,4","0,04","0,5","0,2",,"0,05","0,5","0,5","0,02","0,01",,,,,,"55,65","0,96","18,22","7,62",,"0,21","5,24","8,39","2,88","0,83",,,,"8,46",By_difference,,,,,,,,,,,,,,,,"54,36","0,96","17,54",,"8,72",,"0,17","5,76","8,75","2,88","0,92",0,,,,,,,,,,
AB90,Almeev_et_al_2013,,990,"7,01",,,,3,51,"0,5","4,3","7,2",,"0,21","15,9",21,"0,39","0,02",,,,"0,9","0,1","0,7","0,2",,"0,01","0,8","0,7","0,07","0,01",,,,,,"56,42","0,93","18,81","7,11",,"0,22","4,7","8,09","2,73","0,99",,,,"7,45",By_difference,,,,,,,,,,,,,,,,"54,36","0,96","17,54",,"8,72",,"0,17","5,76","8,75","2,88","0,92",0,,,,,,,,,,
#146,Almeev_et_al_2007,,1175,2,,,,,"50,42","0,62","6,72","7,21",,"0,19","15,55","17,27","0,61","0,01",,,,,,,,,,,,,,,,,,,"50,1","1,54","14,78","11,35",,"0,23","7,52","11,49","2,4","0,09",,,,,,,,,,,,,,,,,,,,,"50,55","1,03","15,8",,"9,58",,"0,17","9,64","12,2","2,22","0,06","0,07",,,,,,,,,,
RP26,Alonso-Perez_et_al_2009,,950,12,,,,4,"48,1","0,85","8,32","12,3",,"0,29","10,5","18,5","0,71",,,,,"0,8","0,03","0,6","0,6",,"0,09","0,3","0,7","0,08",,,,,,,"65,94","0,81","16,86","4,63",,"0,14","1,11","5,48","3,13",2,,,,"6,5",Raman,,,,,,,,,,,,,,,,"54,82","0,91","18,05",,"5,94",,"0,29","2,83","7,12","2,83","1,42",0,,,,,,,,,,
RP62,Alonso-Perez_et_al_2009,,1000,12,,,,7,"48,3","0,71","7,8","11,2",,"0,4","12,2","19,2","0,6","0,04",,,,"0,8","0,09","0,7","0,8",,"0,06","0,6","0,3","0,02","0,02",,,,,,"59,79","0,94","17,92","7,46",,"0,18","2,08","7,2","2,78","1,64",,,,"5,2",Raman,,,,,,,,,,,,,,,,"54,82","0,91","18,05",,"5,94",,"0,29","2,83","7,12","2,83","1,42",0,,,,,,,,,,
RP62A,Alonso-Perez_et_al_2009,,900,12,,,,12,"48,8","0,64","6,53","16,2",,"0,5","10,1","16,4","0,64","0,07",,,,1,"0,1","0,56","1,5",,"0,1","0,8","1,6","0,11","0,05",,,,,,"69,31","0,49","16,22","3,13",,"0,05","0,99","4,54","2,71","2,56",,,,"7,7",Raman,,,,,,,,,,,,,,,,"54,82","0,91","18,05",,"5,94",,"0,29","2,83","7,12","2,83","1,42",0,,,,,,,,,,
RP90,Alonso-Perez_et_al_2009,,950,12,,,,7,"46,9","1,07","9,14","10,7",,"0,3",10,"20,3","0,59","0,02",,,,"0,3","0,05","0,24","0,4",,"0,08","0,1","0,3","0,03","0,01",,,,,,"63,7","0,84","18,54","4,51",,"0,12","1,35","6,2","2,94","1,8",,,,9,Raman,,,,,,,,,,,,,,,,"53,67","0,89","17,68",,"5,81",,"0,29","2,77","6,97","2,77","1,39",0,,,,,,,,,,
s0968-12,Andujar_et_al_2015,,1040,1,,,,2,"50,75","0,71","5,89","7,47",,"0,23","14,1","19,68","0,57","0,1",,,,"0,48","0,08","0,27","0,22",,"0,34","0,20","0,00","0,08","0,00",,,,,,"54,37","1,64","18,32","9,06",,"0,15","4,6","7,08","3,48","1,04","0,26",,,"6,63",By_difference,,,,,,,,,,,,,,,,"51,8","0,96","17,7",,"8,28",,"0,09","6,53","11,2","2,74","0,57","0,2",,,,0,0,0,0,"60,6",,
s0968-13,Andujar_et_al_2015,,1040,1,,,,1,"51,36","0,95","4,39","8,89",,"0,35","15,54","19,05","0,33",0,,,,,,,,,,,,,,,,,,,"55,29","1,66","16,54","9,3",,"0,24","3,97","7,88","3,44","1,37","0,31",,,"6,3",By_difference,,,,,,,,,,,,,,,,"51,8","0,96","17,7",,"8,28",,"0,09","6,53","11,2","2,74","0,57","0,2",,,,0,0,0,0,"41,9",,
s0968-14,Andujar_et_al_2015,,1040,1,,,,3,"50,06","0,98","4,16","9,7",,"0,29","15,23","19,26","0,36","0,03",,,,"0,36","0,04","0,14","0,06",,"0,61","0,05","0,25","0,05","0,05",,,,,,"55,13","1,87","17,98","8,06",,"0,12","3,21","7,95","3,66","1,6","0,42",,,"3,4",By_difference,,,,,,,,,,,,,,,,"51,8","0,96","17,7",,"8,28",,"0,09","6,53","11,2","2,74","0,57","0,2",,,,0,0,0,0,"39,9",,
s0968-15,Andujar_et_al_2015,,1040,1,,,,1,"50,81","1,04","2,97","10,31",,"0,23","15,56","18,38","0,34","0,09",,,,,,,,,,,,,,,,,,,"53,71","1,9","17,91","9,11",,"0,01","3,94","7,93","3,43","1,66","0,4",,,"2,17",By_difference,,,,,,,,,,,,,,,,"51,8","0,96","17,7",,"8,28",,"0,09","6,53","11,2","2,74","0,57","0,2",,,,0,0,0,0,,,
s0968-18,Andujar_et_al_2015,,1040,2,,,,1,"49,249","0,986","6,286","7,56",,"0,15","15,22","19,63","0,55","0,1",,,,,,,,,,,,,,,,,,,"58,31","1,43","16,58","6,38",,"0,19","5,29","5,71","5,03","1,07",0,,,"4,55",By_difference,,,,,,,,,,,,,,,,"51,8","0,96","17,7",,"8,28",,"0,09","6,53","11,2","2,74","0,57","0,2",,,,0,0,0,0,"34,5",,
s0968-2,Andujar_et_al_2015,,1040,2,,,,4,"48,34","0,84","5,88","7,19",,"0,13","15,1","20,1","0,34","0,02",,,,"0,10","0,11","0,44","0,22",,"0,14","0,06","0,66","0,03","0,02",,,,,,"53,14","1,16","18,79","9,02",,"0,14","4,73","9,62","2,49","0,65","0,26",,,"7,43",By_difference,,,,,,,,,,,,,,,,"51,8","0,96","17,7",,"8,28",,"0,09","6,53","11,2","2,74","0,57","0,2",,,,0,0,0,0,"34,8",,
s0968-28b,Andujar_et_al_2015,,1000,4,,,,2,"49,25","0,9","5,27","7,98",,"0,18","14,17","20,75","0,25","0,01",,,,"0,33","0,15","0,73","0,67",,"0,26","0,12","0,07","0,08","0,01",,,,,,"55,52","1,26","16,73","8,5",,"0,03","4,01","8,22","4,54","0,87","0,32",,,"6,83",By_difference,,,,,,,,,,,,,,,,"51,8","0,96","17,7",,"8,28",,"0,09","6,53","11,2","2,74","0,57","0,2",,,,0,0,0,0,"51,2",,
s0968-29b,Andujar_et_al_2015,,1000,4,,,,2,"50,09","0,93","5,13","11,58",,"0,31","16,91",15,"0,34","0,03",,,,"0,15","0,00","0,61","0,10",,"0,77","0,03","0,24","0,02","0,02",,,,,,"56,81","1,42","17,68","7,67",,0,"2,48","8,41","4,33","0,86","0,34",,,"6,69",By_difference,,,,,,,,,,,,,,,,"51,8","0,96","17,7",,"8,28",,"0,09","6,53","11,2","2,74","0,57","0,2",,,,0,0,0,0,"39,8",,
s0968-3,Andujar_et_al_2015,,1040,2,,,,3,"49,71","0,86","5,05","7,94",,"0,28","15,27","19,42","0,4","0,04",,,,"0,62","0,13","0,88","0,43",,"0,89","0,13","0,77","0,12","0,04",,,,,,"53,58","1,48","16,74","9,53",,"0,15","5,48","8,83","2,69","1,18","0,34",,,"6,85",By_difference,,,,,,,,,,,,,,,,"51,8","0,96","17,7",,"8,28",,"0,09","6,53","11,2","2,74","0,57","0,2",,,,0,0,0,0,"59,3",,
s0968-39,Andujar_et_al_2015,,1000,4,,,,2,"49,23","0,96","5,08","9,36",,"0,25","14,09","18,85","0,34","0,09",,,,"0,64","0,08","0,64","0,64",,"0,48","0,17","0,45","0,02","0,02",,,,,,"55,09","1,48","18,07","8,85",,0,"3,79","7,46","3,84","1,05","0,36",,,"7,6",By_difference,,,,,,,,,,,,,,,,"51,8","0,96","17,7",,"8,28",,"0,09","6,53","11,2","2,74","0,57","0,2",,,,0,0,0,0,"44,3",,
s0968-4,Andujar_et_al_2015,,1040,2,,,,3,"49,91","0,83","4,79","8,99",,"0,17","15,19","18,67","0,46","0,02",,,,"0,85","0,23","0,48","0,03",,"0,26","0,07","0,01","0,08","0,02",,,,,,"55,52","1,77","16,42","10,75",,"0,26","3,81","6,66","2,91","1,6","0,3",,,"5,93",By_difference,,,,,,,,,,,,,,,,"51,8","0,96","17,7",,"8,28",,"0,09","6,53","11,2","2,74","0,57","0,2",,,,0,0,0,0,"43,8",,
s0968-42,Andujar_et_al_2015,,1000,2,,,,2,"49,62","0,72","5,58","6,97",,"0,16","14,65","20,86","0,23","0,04",,,,"0,88","0,10","0,74","0,14",,"0,51","0,04","0,08","0,02","0,06",,,,,,"53,11","1,04","19,01","8,66",,"0,14","4,55","9,85","2,82","0,63","0,18",,,"7,53",By_difference,,,,,,,,,,,,,,,,"51,8","0,96","17,7",,"8,28",,"0,09","6,53","11,2","2,74","0,57","0,2",,,,0,0,0,0,"68,4",,
s0968-43,Andujar_et_al_2015,,1000,2,,,,1,49,"0,79","6,11","7,07",,"0,13","14,59","21,22","0,22",0,,,,,,,,,,,,,,,,,,,"53,63","1,14","18,42","8,63",,"0,13","4,49","9,31","3,24","0,75","0,26",,,"7,72",By_difference,,,,,,,,,,,,,,,,"51,8","0,96","17,7",,"8,28",,"0,09","6,53","11,2","2,74","0,57","0,2",,,,0,0,0,0,"62,1",,
s0968-44,Andujar_et_al_2015,,1000,2,,,,1,"49,36","0,84","5,55","7,85",,"0,28","14,36","20,47","0,28",0,,,,,,,,,,,,,,,,,,,"54,46","1,28","18,22","8,92",,"0,21","3,91","8,66","3,27","0,79","0,28",,,"7,06",By_difference,,,,,,,,,,,,,,,,"51,8","0,96","17,7",,"8,28",,"0,09","6,53","11,2","2,74","0,57","0,2",,,,0,0,0,0,"44,9",,
s0968-47,Andujar_et_al_2015,,1040,4,,,,1,"51,43","0,56","3,48","4,52",,"0,15","16,45","22,76","0,19",0,,,,,,,,,,,,,,,,,,,"50,92","0,99","20,26","7,72",,"0,07","5,46","10,57","3,05","0,65","0,31",,,"7,1",By_difference,,,,,,,,,,,,,,,,"51,8","0,96","17,7",,"8,28",,"0,09","6,53","11,2","2,74","0,57","0,2",,,,0,0,0,0,"89,6",,
s0968-5,Andujar_et_al_2015,,1040,2,,,,2,"50,6","1,02","4,71","9,59",,"0,33","15,65","16,28","0,5","0,11",,,,"0,39","0,25","1,58","0,66",,"0,14","0,12","1,19","0,09","0,09",,,,,,"54,55","2,36","16,39","10,07",,"0,22","3,42","7,29","3,19",2,"0,51",,,"2,83",By_difference,,,,,,,,,,,,,,,,"51,8","0,96","17,7",,"8,28",,"0,09","6,53","11,2","2,74","0,57","0,2",,,,0,0,0,0,"16,6",,
s0968-50,Andujar_et_al_2015,,1040,4,,,,2,"51,12","1,1","4,63","10,33",,"0,3","16,23","17,3","0,26","0,02",,,,"0,22","0,10","0,25","0,01",,"0,34","0,03","0,09","0,03","0,00",,,,,,"58,76","1,29","16,38","8,91",,"0,13","2,64","6,25",4,"1,4","0,23",,,"4,47",By_difference,,,,,,,,,,,,,,,,"51,8","0,96","17,7",,"8,28",,"0,09","6,53","11,2","2,74","0,57","0,2",,,,0,0,0,0,"23,4",,
s0968-54,Andujar_et_al_2015,,975,4,,,,4,"50,54","0,68","3,9","9,56",,"0,24","13,59","18,11","0,27","0,01",,,,"0,70","0,20","0,81","0,45",,"0,42","0,07","0,36","0,10","0,01",,,,,,"57,85","1,06",19,"8,2",,"0,2","2,51","6,27","3,76","1,06","0,1",,,"6,4",By_difference,,,,,,,,,,,,,,,,"51,8","0,96","17,7",,"8,28",,"0,09","6,53","11,2","2,74","0,57","0,2",,,,0,0,0,0,32,,
s0968-6,Andujar_et_al_2015,,1000,2,,,,3,"50,34","0,67","2,69","7,4",,"0,22","15,95","21,59","0,25","0,01",,,,"0,12","0,12","0,71","0,09",,"0,19","0,04","0,41","0,03","0,01",,,,,,"55,25","1,61","17,74","8,72",,"0,22","4,55","7,01","3,12","1,38","0,4",,,"5,94",By_difference,,,,,,,,,,,,,,,,"51,8","0,96","17,7",,"8,28",,"0,09","6,53","11,2","2,74","0,57","0,2",,,,0,0,0,0,"47,2",,
s0968-9,Andujar_et_al_2015,,1000,2,,,,2,"50,8","0,96","4,06","11,88",,"0,27","15,54","16,42","0,44","0,02",,,,"0,06","0,06","1,14","0,87",,"0,28","0,01","0,94","0,22","0,02",,,,,,"56,4","1,85","18,54","7,99",,"0,02","2,36","6,71","3,51","2,13","0,49",,,"2,85",By_difference,,,,,,,,,,,,,,,,"51,8","0,96","17,7",,"8,28",,"0,09","6,53","11,2","2,74","0,57","0,2",,,,0,0,0,0,"33,4",,
MB-111,Andujar&Scaillet_2012,,850,2,,,,1,"50,3","1,38","2,25","12,9",,"1,04","10,1","20,4","1,66",0,,,,,,,,,,,,,,,,,,,"59,9","0,7",19,"2,96",,"0,21","0,32","0,66","10,6","5,7",,,,"4,56",FTIR,95,,,,,,,,,,,,,,,"59,7","0,64","19,6",,"3,4",,"0,25","0,33","0,72","9,63","5,74",,,,,,,,,,,
MB-112,Andujar&Scaillet_2012,,850,2,,,,1,"50,9","1,02","1,31","12,5",,"0,94","10,7","21,3","1,27",0,,,,,,,,,,,,,,,,,,,"59,5","0,7","19,3","3,02",,"0,18","0,33","0,65","10,8","5,6",,,,"3,83",FTIR,"97,1",,,,,,,,,,,,,,,"59,7","0,64","19,6",,"3,4",,"0,25","0,33","0,72","9,63","5,74",,,,,,,,,,,
MB-113,Andujar&Scaillet_2012,,850,2,,,,1,"50,5",1,"1,65","13,1",,"1,11","10,7","21,3","0,71",0,,,,,,,,,,,,,,,,,,,"59,6","0,6",19,"3,11",,"0,22","0,29","0,68","10,8","5,7",,,,"3,31",FTIR,"96,6",,,,,,,,,,,,,,,"59,7","0,64","19,6",,"3,4",,"0,25","0,33","0,72","9,63","5,74",,,,,,,,,,,
MB-114,Andujar&Scaillet_2012,,850,"0,5",,,,1,"50,9","1,27","1,88",12,,"0,95",11,"21,2","0,74",0,,,,,,,,,,,,,,,,,,,60,"0,7","19,7","3,05",,"0,13","0,36","0,63","9,8","5,7",,,,"2,79",FTIR,"94,8",,,,,,,,,,,,,,,"59,7","0,64","19,6",,"3,4",,"0,25","0,33","0,72","9,63","5,74",,,,,,,,,,,
MB-117,Andujar&Scaillet_2012,,850,"0,5",,,,3,"49,9","1,1","2,34","11,6",,"1,46","11,3","21,4","0,86",0,,,,"0,8","0,16","1,16","0,5",,"0,41","0,6","0,2","0,38",0,,,,,,"59,4","0,7","19,4","3,24",,"0,31","0,37","0,65","10,2","5,8",,,,"1,98",FTIR,"94,9",,,,,,,,,,,,,,,"59,7","0,64","19,6",,"3,4",,"0,25","0,33","0,72","9,63","5,74",,,,,,,,,,,
MB-22,Andujar&Scaillet_2012,,850,1,,,,1,"52,3","0,86","0,85","11,3",,"1,14","11,9","20,8","0,92",0,,,,,,,,,,,,,,,,,,,"60,7","0,67","19,4","3,1",,"0,16","0,28","0,6","9,8","5,34",,,,"3,12",Capsule_same_conditions,"97,7",,,,,,,,,,,,,,,"59,7","0,64","19,6",,"3,4",,"0,25","0,33","0,72","9,63","5,74",,,,,,,,,,,
