Run,Reference,,T_C,P_kbar,fO2_value,fO2_unit,fO2_comment,n_cpx,SiO2_Cpx,TiO2_Cpx,Al2O3_Cpx,FeO_Cpx,Fe2O3_Cpx,MnO_Cpx,MgO_Cpx,CaO_Cpx,Na2O_Cpx,K2O_Cpx,P2O5_Cpx,Cr2O3_Cpx,NiO_Cpx,SiO2_Cpx_sd,TiO2_Cpx_sd,Al2O3_Cpx_sd,FeO_Cpx_sd,Fe2O3_Cpx_sd,MnO_Cpx_sd,MgO_Cpx_sd,CaO_Cpx_sd,Na2O_Cpx_sd,K2O_Cpx_sd,P2O5_Cpx_sd,Cr2O3_Cpx_sd,NiO_Cpx_sd,Cpx_sd,n_Liq,SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeO_Liq,Fe2O3_Liq,MnO_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,P2O5_Liq,Cr2O3_Liq,NiO_Liq,H2O_Liq,H2O_Method,UnnormalizedTotal_Liq,Total_100_norm,SiO2_Liq_sd,TiO2_Liq_sd,Al2O3_Liq_sd,FeO_Liq_sd,Fe2O3_Liq_sd,MnO_Liq_sd,MgO_Liq_sd,CaO_Liq_sd,Na2O_Liq_sd,K2O_Liq_sd,P2O5_Liq_sd,Cr2O3_Liq_sd,NiO_Liq_sd,SiO2_Start,TiO2_Start,Al2O3_Start,Cr2O3_Start,FeO_Start,Fe2O3_Start,MnO_Start,MgO_Start,CaO_Start,Na2O_Start,K2O_Start,P2O5_Start,NiO_Start,H2O_Start,H2O_sat,Bt_Frac,Amph_Frac,Phl_Frac,Ap_Frac,Liq_frac,H2O_measurement,Comments
S371205,Springer&Seck_1997,,1000,12,,,,7,"50,39","0,6","7,61","4,98",,0,"14,81","19,64","1,07",0,,"0,02",,,,,,,,,,,,,,,"sd not available, only n",,"66,99","0,53","17,92","2,05","0,72","0,08","1,57","4,98","4,85","0,29",,"0,03",0,,,"91,23",,,,,,,,,,,,,,,"48,79","0,54","17,13",0,"7,26","0,86","0,22","10,86","11,66","1,54","0,05","0,12",0,1,,,,,,,Water added to the capsule,
S371502,Springer&Seck_1997,,900,15,,,,8,"50,64","0,6","8,26","5,22",,"0,12","13,46","19,13","1,14","0,01",,"0,16",,,,,,,,,,,,,,,"sd not available, only n",,"72,28","0,27","16,79","0,59","0,23","0,01","0,37","4,07","4,96","0,4",,"0,03",0,,,"90,32",,,,,,,,,,,,,,,"48,79","0,54","17,13",0,"7,26","0,86","0,22","10,86","11,66","1,54","0,05","0,12",0,1,,,,,,,Water added to the capsule,
S60518,Springer&Seck_1997,,940,5,,,,14,"49,46","0,68","5,48","8,85",,"0,16","13,71","21,14","0,56","0,02",,0,,,,,,,,,,,,,,,"sd not available, only n",,"70,95","0,54","13,85","1,36","0,57","0,2","1,75","5,23","4,35","1,19",,"0,02",0,,,"87,84",,,,,,,,,,,,,,,"45,97","1,58","14,81",0,"9,04","2,5","0,21","8,11","13,16","2,1","0,1","0,35",0,1,,,,,,,Water added to the capsule,
S61006,Springer&Seck_1997,,900,10,,,,11,"47,83","1,01","9,16","7,61",,"0,17","13,59","18,76","0,61","0,02",,"0,08",,,,,,,,,,,,,,,"sd not available, only n",,"71,35","0,28","16,09","1,3","0,53","0,1","0,6","5,56","3,53","0,64",,"0,02",0,,,"87,34",,,,,,,,,,,,,,,"45,97","1,58","14,81",0,"9,04","2,5","0,21","8,11","13,16","2,1","0,1","0,35",0,1,,,,,,,Water added to the capsule,
S61511,Springer&Seck_1997,,1000,15,,,,9,"48,14","1,37","9,06","8,37",,"0,13","11,45","20,25","0,97","0,01",,"0,05",,,,,,,,,,,,,,,"sd not available, only n",,"68,1","0,68","19,37","1,7","0,61","0,03","0,54","3,76","4,67","0,52",,"0,02",0,,,"91,4",,,,,,,,,,,,,,,"45,97","1,58","14,81",0,"9,04","2,5","0,21","8,11","13,16","2,1","0,1","0,35",0,1,,,,,,,Water added to the capsule,
519-11,Stolper_1980,,1250,10,,,,,"50,29","0,92","6,23","9,97",,"0,21","15,45","16,64","0,51",0,,"0,17",,,,,,,,,,,,,,,Sd not available,,"45,71","2,43","12,81","18,17",,"0,23","5,92","9,6","2,51","0,29",,0,0,,,"97,67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mixture of glass, ol and opx"
64,Takagi_et_al_2005,,1030,2,,,,2,"53,96","0,24","2,04","6,79",,"0,29","18,05","19,38","0,21",0,,,,"0,13","0,02","0,11","0,35",,"0,04","0,29","0,83","0,04",,,,,,,"57,07","0,74","16,44","6,39",,"0,18","4,18","8,16","1,98","0,32",,0,0,,,"95,46",,,,,,,,,,,,,,,"50,9","0,74","16,18",0,0,10,"0,17","6,26","9,21","2,13","0,21","0,08",0,"4,9",,,,,,,Water content in the melt estimated by mass balance,
29,Takahahshi_et_al_1998,,1250,"12,5",,,,,"52,3","0,6","4,7","10,3",,"0,3","20,1","11,2","0,5",0,,,,,,,,,,,,,,,,,Sd not available,,"51,5","1,9","15,3","11,8",,"0,1","6,6","9,5","2,4","0,8",,0,"0,02",,,,,,,,,,,,,,,,,,"50,76","1,48","16,02",0,"9,52",0,"0,14","8,23","10,77","2,29","0,39","0,19",0,,,,,,,,,
31,Takahahshi_et_al_1998,,1250,15,,,,,"51,5","0,7","6,6","10,8",,"0,2","15,4","13,6","1,1","0,1",,,,,,,,,,,,,,,,,Sd not available,,"55,2","1,4","16,1","10,3",,0,"4,3","8,3","3,4",1,,0,0,,,,,,,,,,,,,,,,,,"50,76","1,48","16,02",0,"9,52",0,"0,14","8,23","10,77","2,29","0,39","0,19",0,,,,,,,,,
35,Takahahshi_et_al_1998,,1275,"17,5",,,,,"49,7",1,"11,6","8,6",,"0,2","13,8","14,5","1,1",0,,,,,,,,,,,,,,,,,Sd not available,,"57,1",2,"17,5","7,3",,"0,1","3,6","8,1","3,3","1,1",,0,0,,,,,,,,,,,,,,,,,,"50,76","1,48","16,02",0,"9,52",0,"0,14","8,23","10,77","2,29","0,39","0,19",0,,,,,,,,,
